PMID,Disease
36791022,breast cancer
36791022,MDMs
36791022,breast cancer
36791022,breast cancer MDMs
36791022,breast cancer
36791022,breast cancer MDMs
36791022,breast cancer MDMs
36791022,breast cancer
36791022,MDMs
36790946,Breast Cancer
36790946,Breast cancer
36790946,cancer deaths
36790946,cancer
36790946,breast cancer
36790946,breast cancer
36790946,Breast cancer
36790946,tumor
36790946,cancer
36790934,cancer
36790934,cancer
36790934,cancer
36790934,cancer
36790934,cancer
36790934,cancer
36790934,cancer
36790882,breast cancer
36790882,cancer
36790882,tumor
36790882,tumor
36790882,tumor
36790882,tumor
36790882,tumor
36790871,Breast Cancer
36790871,breast cancer
36790871,tumor
36790871,glucose metabolism
36790871,breast cancer
36790871,breast cancer
36790871,breast cancer
36790732,Breast Cancer
36790676,glioma
36790676,liver cancer
36790676,breast cancer
36790676,tumor metastasis
36790676,cancer
36790676,glioma
36790676,liver hepatocellular carcinoma
36790676,breast cancer
36790676,tumor
36790676,tumor
36790676,carcinoma
36790676,paracancerous
36790676,retards
36790676,cancer
36790603,lung cancer
36790603,Lung cancer
36790603,cancer death
36790603,lung adenocarcinoma
36790603,lung cancer
36790603,osimertinib and abemaciclib in lung cancer
36790582,leukemia and breast cancer
36790582,breast cancer
36790573,oligometastatic breast cancers
36790573,oligometastatic breast cancer
36790573,metachronous metastatic breast cancer
36790573,MBC
36790573,metastases
36790573,MBC
36790573,metastases
36790573,metastases
36790573,metastases
36790573,metastases
36790573,metastases
36790573,Visceral metastases
36790573,MBC
36790533,pigmentation
36790533,dyschromatosis universalis hereditaria
36790533,Dyschromatosis universalis hereditaria
36790533,pigmentary genodermatosis
36790533,hyperpigmented and hypopigmented
36790533,melanoma
36790533,hypopigmented
36790533,hyperpigmentation
36790533,hyperpigmentation
36790533,hypopigmentation
36790512,obesity
36790512,breast cancer
36790512,obesity
36790512,breast carcinogenesis
36790512,obesity
36790512,breast cancer
36790512,breast cancer
36790512,obesity
36790512,breast cancer
36790512,obesity
36790512,breast cancer
36790512,tumors
36790512,tumors
36790512,breast cancer
36790512,tumors
36790512,breast cancer
36790512,breast cancer
36790512,breast cancer
36790479,breast cancer
36790479,breast cancer
36790479,breast cancer
36790479,breast cancer
36790479,tumoral
36790479,tumor
36790479,breast cancer
36790445,cancer
36790445,cancer
36790445,cancer
36790445,sphingomyelin nanosystems
36790445,cancer
36790445,tumour
36790445,breast cancer
36790360,CHA
36790360,breast cancer
36790360,cancer
36790346,tumours
36790346,thyroid neoplasms
36790346,tumours
36790346,tumours
36790346,squamous cell carcinoma
36790346,carcinoma of the breast
36790346,renal cell carcinoma
36790346,neuroendocrine carcinoma of the lung
36790346,carcinoma stomach
36790346,malignant melanoma and squamous cell carcinoma
36790346,thyroid carcinoma
36790346,malignancy
36790346,malignancy
36790286,neoplastic lesions
36790286,breast cancer
36790286,neoplastic lesions
36790286,neoplastic lesions
36790286,neoplastic lesions
36790286,ductal carcinomas
36790286,carcinogenic
36790286,breast cancer
36790070,cancer
36790070,cancer
36790070,cancers
36790070,cancer
36790070,mortality
36790070,malignancies
36790070,pancreatic
36790070,colorectal
36790070,prostate cancer
36790070,malignant melanoma
36790070,non-Hodgkin lymphoma
36790070,acute leukemia
36790070,cancer
36790070,mortality
36790070,cancer
36790026,breast cancer
36790026,breast cancer
36790026,breast cancer
36790026,breast cancer
36790026,breast cancer
36789976,breast cancer
36789976,breast lesions
36789976,malignancies
36789976,Breast cancer
36789976,malignancies
36789976,breast lesions
36789976,malignancies
36789976,malignancies
36789894,breast cancer
36789894,breast cancer
36789830,breast cancer
36789830,breast cancer
36789830,breast cancer
36789830,breast cancer
36789830,breast cancer
36789830,breast cancer
36789830,breast cancer
36789830,breast cancer
36789760,ovarian cancer
36789760,Korean Epithelial Ovarian Cancer
36789760,ovarian cancer
36789760,Korean epithelial ovarian cancer
36789760,CLC
36789760,CLC
36789760,CLC
36789760,CLC
36789760,breast cancer
36789760,carcinogenic
36789739,breast cancer
36789739,invasive cancer
36789739,cancer
36789739,breast cancer
36789739,breast cancers
36789739,breast cancers
36789739,cancer
36789739,Breast Cancer
36789739,Cancer
36789739,I-III breast cancer
36789739,Breast Cancer
36789739,breast cancer
36789739,breast cancer
36789739,contralateral breast cancers
36789739,breast cancer
36789739,cancer
36789739,breast cancer
36789739,ER-negative disease
36789739,cancer
36789739,breast cancer
36789739,cancer
36789739,breast cancer
36789739,cancer
36789739,breast cancers
36789739,breast cancers
36789739,ER-positive cancers
36789689,colorectal cancer
36789689,Colorectal cancer
36789689,malignant tumor
36789689,mortality
36789689,breast cancer
36789689,arrest
36789554,breast cancer
36789554,breast cancer
36789554,breast cancer
36789554,metastases
36789212,breast abnormality
36789212,breast lesion
36789212,anxiety
36789212,anxiety
36789212,breast cancer
36789212,anxiety
36789212,anxiety
36789133,Breast Cancer
36789133,breast cancer
36789133,breast cancer
36789133,tumor
36789133,breast cancer
36789133,breast cancer
36789118,Lymphoblastic Leukemia
36789118,Acute Lymphoblastic Leukemia
36789118,malignancies
36788982,Cancer
36788982,diabetes
36788982,cancer
36788982,diabetes
36788982,pancreas and prostate cancer
36788982,diabetes
36788982,diabetes
36788982,diabetes
36788982,diabetes
36788982,cancers
36788982,diabetes
36788982,Cancer
36788889,Colorectal Cancer
36788889,Colorectal cancer
36788889,CRC
36788889,cancer
36788889,cancer
36788889,breast cancer
36788889,colorectal cancer
36788889,Cancer
36788889,tumor
36788889,tumor
36788889,tumor
36788687,Breast Adenocarcinoma
36788687,cancer
36788687,Cancer
36788687,cancer
36788687,cancer
36788687,Breast Adenocarcinoma
36788683,breast cancer
36788683,breast cancer
36788681,Breast Cancer
36788681,breast cancer
36788681,breast cancer
36788602,ulcWGS
36788602,ulcWGS
36788602,breast cancer
36788602,ulcWGS
36788595,breast lesions
36788595,breast cancer
36788595,breast lesions
36788595,breast malignancy before tumor
36788595,breast malignancies
36788595,breast lesion malignancy
36788408,Breast cancer
36788408,fibrosis
36788408,cancers
36788408,colorectal cancers
36788408,breast cancer
36788408,carcinogenesis
36788391,Breast cancer
36788391,Breast Cancer
36788391,tumour
36788391,tumour
36788391,breast cancer
36788310,angiosarcoma xenograft
36788310,Angiosarcomas
36788310,malignancies
36788310,angiosarcomas
36788310,angiosarcomas
36788310,angiosarcomas
36788310,angiosarcomas
36788310,tumors
36788310,angiosarcomas
36788310,angiosarcomas
36788310,angiosarcoma of the breast
36788310,tumor
36788297,Parkinson's Disease
36788297,Cancers
36788297,Parkinson's disease
36788297,PD
36788297,cancers
36788297,PD
36788297,cancers
36788297,PD
36788297,Parkinson's Disease
36788297,PD
36788297,thyroid cancer
36788297,Parkinson Disease
36788297,PD
36788297,Melanoma
36788297,Breast Cancer
36788297,breast cancer
36788297,Prostate Cancer
36788297,Cancer
36788297,prostate cancer
36788297,Lung Cancer
36788297,lung cancer
36788297,Cancer
36788297,ovarian cancer
36788297,cancer GWASs
36788297,PD
36788297,cancers
36788297,PD
36788297,cancers
36788297,PD
36788297,melanoma
36788297,PD
36788297,prostate cancer
36788297,ovarian cancer
36788297,PD
36788297,PD
36788297,breast cancer
36788297,ovarian cancer
36788297,PD and ovarian cancer
36788297,PD
36788297,cancers
36788297,Movement Disorders
36788297,Parkinson and Movement Disorder
36788122,Invasive Cancer
36788122,tumor
36788122,invasive breast cancer
36788122,ductal carcinoma
36788122,benign disease
36788122,cancer
36788122,breast cancer
36788122,invasive breast cancer
36788122,invasive cancer
36788122,invasive ductal carcinoma
36788122,invasive lobular carcinoma
36788122,breast cancer
36788122,TNBC
36788122,invasive cancer
36788100,Breast Cancer
36788100,HER2-low breast cancer
36788100,tumors
36788100,duct carcinoma
36788100,breast cancers
36788098,cancers
36788098,"breast, ovarian, endometrial"
36788098,pancreatic
36788098,prostate cancers
36788098,Cancer
36788098,deficiency
36788098,HRD
36788098,cancer
36788098,HRD
36788098,HRD
36788098,HRD
36788098,HRD
36788086,HER2-Low Breast Cancer
36788086,breast cancer
36788086,tumors
36788086,tumors
36788086,HER2-low tumors
36788086,HER2-low tumors
36788086,tumor
36788086,tumors
36788086,tumors
36788082,Sebaceous Tumors
36788082,skin adnexal neoplasms
36788082,tumors
36788082,tumors
36788082,cutaneous neoplasms
36788082,sebaceous tumors
36788082,tumors
36788082,tumors
36788082,tumors
36788082,tumors
36788082,tumors
36788082,squamous cell carcinomas
36788082,carcinomas
36788082,skin metastases
36788082,metastases
36788082,breast or lung cancers
36788082,sebaceous tumors
36788081,Luminal Breast Cancer
36788081,luminal breast cancer
36788081,tumors
36788081,tumor
36788078,Breast Cancers
36788078,breast cancer
36788078,TNBC tumors
36788078,tumors
36788078,tumors
36788078,tumors
36788078,TNBC tumor
36788075,Invasive Lobular Carcinoma
36788073,Endometrial Carcinomas
36788073,ovarian cancer
36788073,ovarian tumors
36788073,tumors
36788073,ovarian tumors
36788073,endometrial carcinomas
36788073,carcinomas
36788073,carcinomas
36788073,malignant melanoma
36788073,carcinomas
36788073,angiosarcomas
36788073,ovarian and endometrial tumors
36788073,tumor
36788073,thyroid tumors
36788073,ovarian tumors
36788073,serous carcinoma
36788073,clear cell carcinoma
36788073,endometrioid carcinoma
36788073,tumors
36788073,mucinous carcinoma
36788073,sex cord stromal tumors
36788073,angiosarcomas
36788073,ovarian nonmucinous carcinomas and endometrial carcinomas
36788073,ovarian germ cell tumors
36788073,angiosarcomas
36788069,breast cancers
36788069,breast cancer
36788069,breast cancer
36788064,Breast Cancer
36788064,breast cancer
36787951,breast cancer
36787951,fascial plane block
36787951,unilateral breast cancer
36787951,toxicity
36787933,vulvar cancer
36787933,cancer
36787933,tumor
36787933,Tumors
36787933,squamous cell vulvar cancer
36787933,tumor
36787933,cancer
36787933,tumor
36787921,mortality
36787921,coronavirus disease 19
36787921,COVID-19
36787921,systemic lupus erythematosus
36787921,systemic lupus erythematosus
36787921,SLE
36787921,coronavirus disease 19
36787921,COVID-19
36787921,SLE
36787921,COVID-19
36787921,COVID-19
36787921,SLE
36787921,COVID-19
36787921,mortality
36787921,COVID-19
36787921,SLE
36787921,SLE
36787921,COVID-19
36787921,SLE
36787921,SLE
36787921,mortality
36787921,SLE
36787921,SLE
36787921,COVID-19
36787921,SLE
36787921,COVID-19
36787921,SLE disease
36787863,breast cancer
36787863,breast cancer
36787863,breast cancer
36787863,tumor
36787863,cancer
36787863,Cancer
36787863,cancer
36787863,cancer
36787863,cancer
36787863,cancer
36787863,cancer
36787863,cancer
36787754,Lymphadenopathy
36787754,Breast Cancer
36787754,breast tumor
36787754,pain
36787754,tumor
36787754,cancer
36787754,siliconomas
36787754,lymphadenopathy
36787754,cancer
36787754,breast cancer
36787754,node siliconomas
36787669,breast cancer
36787669,breast lesion segmentation
36787669,breast lesion segmentation
36787617,luminal breast cancers
36787617,breast cancer
36787617,tumors
36787613,cancer
36787613,tardia
36787613,breast cancer
36787613,breast cancer
36787613,breast cancer
36787613,breast cancer
36787512,Cancer
36787512,Cancer
36787512,ovarian cancer
36787512,breast cancer
36787512,ovarian
36787512,breast cancer
36787512,cancer
36787512,breast and ovarian cancer
36787512,cancer
36787508,cancer
36787508,malignancy
36787508,toxicities
36787508,cancers
36787483,Breast Cancer
36787483,breast cancer
36787483,breast cancer
36787483,Cancer
36787483,breast cancer
36787427,breast cancer
36787313,depression
36787313,breast cancer
36787313,depressive disorder
36787313,cancer
36787313,cancer
36787313,depressive
36787313,inflammation
36787313,depressive disorder
36787313,neurotoxicity
36787313,dysregulated hypothalamic-pituitary-adrenal axis
36787313,inflammation-related depression
36787313,breast cancer
36787313,depression
36787313,inflammation
36787313,breast carcinoma
36787313,organic illness
36787313,depression
36787313,inflammation
36787313,psychiatric
36787313,psychiatric
36787313,breast cancer
36787313,depressive disorder
36787313,breast cancer
36787126,cancer
36787126,cancer
36787126,colorectal cancer
36787126,cancer
36787126,colorectal cancer
36787126,breast cancer
36787126,cancer
36787126,colorectal cancer
36787126,cancer
36787126,breast cancer
36787126,colorectal cancer
36787126,cancer
36787126,colorectal cancer
36787126,cancer
36787126,breast cancer
36787126,breast cancer
36787126,colorectal cancer
36787085,Breast cancer
36787085,cancer
36787085,tumor
36787085,cancers
36787085,breast cancer
36787085,cancer
36787085,cancer
36787085,breast cancer
36786996,Cancer
36786996,cancer
36786946,breast cancer
36786946,invasive neoplasms
36786946,breast cancer
36786946,breast cancer
36786946,breast cancer
36786946,breast cancer
36786856,breast cancer
36786856,breast cancer
36786856,breast cancer
36786856,breast cancer
36786856,breast cancer
36786674,Osteolytic Metastases
36786674,H-RISE
36786674,PBS
36786674,PBS
36786674,cytotoxicity
36786674,breast cancer
36786671,deep inspiration breath hold
36786671,right breast cancer
36786671,cardiac substructures
36786671,right breast cancer
36786671,deep inspiration breath hold
36786671,left breast cancer
36786671,cardiac substructures
36786671,MHD
36786551,Breast Cancer
36786551,breast cancer
36786551,mTNBC
36786551,type of breast cancer
36786551,mTNBC
36786527,tumor
36786527,breast cancer
36786527,breast cancer
36786527,breast cancer
36786527,breast cancer
36786527,breast cancer
36786527,cancer
36786527,breast cancer
36786527,breast cancer
36786279,breast cancer
36786196,breast or lung cancer
36786196,breast cancer
36786196,overdose
36786196,overdose
36786196,overdosing
36786171,Cancer
36786171,COVID-19
36786171,cancer
36786171,death
36786171,cancer
36786171,coronavirus disease 2019
36786171,COVID-19
36786171,cancer
36786171,cancer
36786171,COVID-19
36786171,cancers
36786171,cancer
36786171,cancer
36786171,cancer
36786171,COVID-19
36786171,cancer
36785738,Metastasis
36785738,Breast Cancer
36785738,Breast cancer
36785738,malignant tumor
36785738,breast cancer
36785738,cold shock
36785738,breast cancer
36785738,tumor spheroid
36785738,breast cancer
36785738,breast cancer
36785738,breast cancer
36785715,Breast Cancer
36785715,malignancies
36785715,breast cancer
36785715,breast cancer
36785715,Breast Cancer
36785715,tumor
36785715,invasive breast cancer
36785715,tumor
36785715,breast cancer
36785715,breast cancer
36785707,clear cell renal cell carcinoma
36785707,Clear cell renal cell carcinoma
36785707,kidney cancer
36785707,tumor
36785707,Cancer
36785707,Cancer
36785707,tumor
36785645,Willingness
36785645,Breast and Cervical Cancers
36785645,breast cancer
36785645,cancer
36785645,-cancers
36785645,cancer
36785645,cancer
36785571,breast cancer
36785489,"ovarian, tubal and peritoneal cancers"
36785489,ovarian
36785489,invasive epithelial cancers
36785489,cancer
36785489,Cancer
36785489,cancer
36785489,cancer
36785489,ovarian cancer
36785489,cancer
36785489,Familial Cancer
36785489,cancer
36782375,breast cancers
36782375,Cancer
36782375,cancer
36782375,Cancer
36782375,tumours
36782375,breast cancer
36782375,BCa tumours
36782375,Kaohsiung Veterans
36782310,breast carcinoma
36782310,Breast Cancer
36782310,cancer
36782225,breast cancer
36782225,thyroid cancer
36782225,thyroid cancer
36782225,thyroid cancer
36782225,thyroid cancer
36782225,breast cancer
36782225,thyroid cancer
36782225,breast cancer
36782225,thyroid cancer
36782225,Cancer
36782225,breast cancer
36782225,cancer
36782225,thyroid cancer
36782225,thyroid cancer
36782225,thyroid cancer
36782225,breast cancer
36782225,thyroid cancer
36782224,glucose metabolism
36782224,invasive breast cancer
36782224,breast cancer
36782224,Cancer
36782224,diabetes
36782224,obesity
36782224,tumor
36782224,BC carcinogenesis
36782197,breast cancer
36782197,mortality
36782197,breast cancer
36782197,tumors
36782197,breast cancer
36782197,breast cancer
36782134,Colorectal cancer
36782134,colorectal cancer
36782134,breast cancer
36782134,colorectal cancer
36782134,Colorectal cancer
36782134,colorectal cancer
36782134,cancer
36782134,colorectal cancer
36782134,breast cancer
36782134,colorectal cancer
36782134,tumour
36782089,breast cancer
36782089,malignancy
36782089,cancer
36782089,death
36782089,tumor
36781911,reflux esophagitis
36781911,diabetes
36781911,cardiovascular disease
36781911,sleep disturbance
36781911,depression
36781911,breast cancer
36781911,Gastro-esophageal reflux disease
36781911,GERD
36781911,reflux esophagitis
36781892,breast cancer
36781892,invasive breast cancer
36781892,invasive breast cancer
36781869,breast cancer
36781869,breast cancer
36781869,breast cancer
36781869,cancer
36781869,breast cancer
36781869,aggressive tumors
36781869,cancer
36781869,breast cancer
36781869,breast cancer
36781846,breast cancer
36781846,catastrophic injury
36781846,HU toxicity
36781846,tumor cell death
36781812,Breast Cancer
36781812,Breast cancer
36781812,cancer
36781812,breast cancer
36781812,breast cancer
36781812,invasive breast cancer
36781812,cancer
36781812,cancer
36781812,breast cancer
36781812,breast cancer
36781812,breast cancer
36781808,breast cancer
36781808,breast cancer
36781808,invasive breast cancer
36781808,Breast Cancer
36781808,malignancy
36781754,cytotoxicity
36781754,hyperthermia
36781754,breast cancer
36781754,TNBC
36781707,breast cancer
36781707,breast cancer
36781707,cardiotoxicity
36781707,QTc prolongation
36781707,cardiotoxicity
36781707,QTc prolongation
36781707,cardiotoxic
36781543,breast cancer
36781543,anxiety
36781543,Stress
36781543,depression
36781543,Anxiety
36781543,stress
36781543,depression
36781543,anxiety
36781543,anxiety
36781543,anxiety
36781520,breast cancer
36781520,breast cancer
36781520,breast cancer
36781520,mortality
36781520,tumor
36781520,mortality
36781520,mortality
36781520,death
36781519,breast cancer
36781519,breast cancer
36781519,breast cancer
36781519,breast cancer
36781519,breast cancer
36781474,breast cancer
36781474,cancer
36781474,tumor
36781474,breast cancer
36781474,necrotic
36781387,anxiety
36781387,depression
36781387,Cancer
36781387,Anxiety
36781387,Depression
36781387,melanoma
36781387,cancers
36781238,breast cancers
36781238,breast cancer
36781238,breast cancer
36781238,Cancer
36781238,tumor
36781238,breast cancer
36781238,typecarcinoma
36781238,carcinoma
36781238,invasive micropapillary carcinoma
36781238,invasive papillary carcinoma
36781238,carcinoma
36781238,tumors
36781238,breast cancer
36781224,Breast Cancer
36781224,breast cancer
36781224,breast cancer
36781224,tumors
36781223,Ductal Carcinoma In Situ
36781223,ductal carcinoma
36781219,Breast Cancer
36781219,breast cancers
36781219,breast malignancies
36781219,aggressiveness
36781219,carcinoma
36781219,breast cancer
36781219,breast cancer
36781147,breast cancer
36781147,cancer
36781147,breast cancer
36781147,TNBC
36781147,TNBC
36781147,arrest
36781147,cancer
36781026,retinopathy
36781026,breast cancer
36781026,retinal/choroidal toxicity
36781026,TAM retinopathy
36781026,TAM retinopathy
36781026,retinal toxicity
36780963,breast cancer
36780963,cancer
36780963,tumors
36780963,tumor
36780963,CMD
36780963,cancer
36780963,breast cancer
36780963,tumor
36780963,breast cancer
36780963,TNBC
36780963,CMD
36780963,TNBC
36780904,Breast Cancer
36780904,breast cancer
36780904,breast cancer
36780904,breast cancer
36780904,breast cancer
36780904,breast cancer
36780904,breast cancer
36780838,breast cancer
36780838,breast cancer
36780800,cancer
36780800,tumors
36780800,cancer
36780800,tumors
36780800,Cancer
36780800,tumor
36780800,tumor immune dysfunction
36780800,tumors
36780800,tumors
36780800,tumors
36780800,tumors
36780800,tumor
36780800,tumors
36780800,cancer
36780800,tumors
36780734,febrile neutropenia
36780734,febrile neutropenia
36780734,gastrointestinal cancer
36780734,lymphoma
36780734,neutropenia
36780734,tumor
36780734,lymphoid hemopathy
36780734,tumor
36780734,lymphoma
36780734,tumor
36780624,IN BREAST CANCER
36780624,breast cancer
36780624,breast cancer
36780624,breast cancer
36780624,breast cancer
36780624,breast cancer
36780614,malignant breast lesions
36780614,hyperplasia
36780614,hyperplasia
36780614,hyperplasia
36780614,lobular carcinoma
36780614,breast cancer
36780610,Breast Cancer
36780610,breast cancer
36780610,HER2-low breast cancer
36780610,breast cancer
36780610,breast cancer
36780587,Breast Cancer
36780531,metastases
36780531,Brain metastases
36780531,brain neoplasm
36780531,melanoma BMICs
36780531,melanoma premetastatic BMICs
36780467,breast cancer
36780467,Congress and Breast Cancer Congress
36780460,breast cancer
36780460,Antonio Breast Cancer Symposium
36780448,Breast Cancer
36780448,Breast cancer
36780448,cancer
36780448,breast cancer
36780448,cancers
36780448,breast cancer
36780448,breast cancer
36780448,breast cancer
36780448,breast cancer
36780426,Breast Cancers
36780426,breast cancer
36780426,cancer
36780426,low toxicity
36780418,Cancer
36780418,breast cancer
36780418,breast cancer
36780418,breast cancer
36780418,breast cancer
36780418,breast cancer
36780418,cancer
36780335,breast cancer
36780270,Cancer
36780270,cancer
36780270,mitochondria-targeted piezodynamic cancer
36780270,breast cancer
36780270,tumor
36780270,tumors
36780270,tumor
36780270,toxicity
36780270,cancer
36780270,tumors
36780234,breast cancer
36780234,breast carcinogenesis
36780234,cancerous
36780234,cancer
36780234,breast cancer
36780234,breast cancer
36780234,breast cancer
36780234,breast cancer
36780232,breast cancer
36780232,Breast cancer
36780232,breast cancer
36780232,Breast cancer
36780232,breast cancer
36780232,breast cancer
36780214,Cancer
36780214,Developmental Disabilities
36780214,developmental disabilities
36780214,IDD
36780214,cancer
36780214,IDD
36780214,IDDs
36780214,cancer
36780214,IDD
36780214,IDD
36780214,IDD
36780214,IDD
36780214,cancer
36780065,breast tumours
36780065,cardiotoxicities
36780065,HD
36780065,HD
36779982,Cancer
36779982,cancer
36779982,invasive malignancy
36779982,cancer
36779982,breast cancer
36779982,leukemia/lymphoma
36779982,tumors
36779982,cancer
36779961,neck cancer
36779961,tumoral
36779961,toxicity
36779863,cancer
36779863,cancer
36779863,cancer
36779863,cancer
36779863,cancer
36779863,lung cancer
36779863,colorectal cancer
36779863,melanoma
36779863,hypertension
36779863,pulmonary diseases
36779863,diabetes
36779764,breast cancer
36779764,breast cancer
36779764,cancer
36779764,cancer
36779764,breast cancer
36779764,Breast Cancer
36779764,breast cancer
36779764,breast cancer
36779764,breast cancer
36779764,breast cancer
36779764,breast cancer
36779764,breast cancer
36779542,cancer
36779542,breast cancer
36779378,breast cancer
36779378,cancer
36779378,cancer
36779378,cancer
36779378,toxicity
36779378,cancer
36779378,tumor
36779378,cancer
36779309,breast cancer
36779309,cancer
36779309,cancer
36779309,breast cancer
36779309,colorectal
36779309,cancer
36779309,breast cancer OS
36779309,breast cancer
36779309,breast cancer
36779309,breast cancer OS
36779309,breast cancer
36779309,colorectal cancer
